,Name,Team,Points,PointAverage,FangraphsId,POS
222,Geraldo Perdomo,ARI,304.35146,2.5940666177999763,22799,2B/SS
223,Chris Taylor,LAD,304.0308599999999,3.02202534665275,13757,SS/3B/ OF
224,Elias Díaz,COL,302.275128,2.60856355822503,11680,C
225,Jurickson Profar,SDP,301.79513000000003,2.6749907375399973,10815,OF
226,Luke Raley,SEA,301.05995,3.0541517032889,19354,1B/OF
227,Joey Gallo,WSN,298.18093500000003,2.934880609061113,14128,1B/OF
228,Tyler Stephenson,CIN,297.892098,2.643136871805792,17988,C
229,Luis Campusano,SDP,297.414607,2.686744961471404,22217,C
230,Kyle Isbel,KCR,288.85141,2.7133408168633046,21614,OF
231,Brett Baty,NYM,287.80691600000006,2.660592341967571,26123,3B
232,Ryan Jeffers,MIN,287.3481,2.824781762415949,24618,C
233,Wilyer Abreu,BOS,287.30200999999994,3.045896020431638,23772,OF
234,Ceddanne Rafaela,BOS,286.59111,2.901207186632572,24262,OF
235,Ryan O'Hearn,BAL,285.18791,2.8173663620647074,16442,1B/OF
236,Trent Grisham,NYY,284.40695,2.9937227042634245,18564,OF
237,Liover Peguero,PIT,283.13680999999997,2.6919007235147028,24273,2B/SS
238,Danny Jansen,TOR,281.33159500000005,2.9982990054396024,16535,C
239,Wilmer Flores,SFG,281.20217399999996,2.9440228945216673,5827,1B/3B
240,Kevin Kiermaier,TOR,280.64430999999996,2.6655678396732676,11038,OF
241,Sean Bouchard,COL,279.99053000000004,2.801762868782003,21270,OF
242,Alex Kirilloff,MIN,279.64873,2.9502514556152093,20325,1B/OF
243,Adam Duvall,,278.34205,3.2637574795357085,10950,OF
244,Amed Rosario,TBR,277.87783999999994,2.897527781050804,15518,2B/SS
245,Marco Luciano,SFG,276.7939410000001,2.5861341773334585,25616,SS
246,Kyle Manzardo,CLE,276.314969,2.838885476748702,sa3017342,1B
247,Matt Vierling,DET,275.73545,2.753912109862672,21558,3B/OF
248,Garrett Mitchell,MIL,275.14011,2.943537571438047,27555,OF
249,Myles Straw,CLE,273.93299,2.4778879431212744,17620,OF
250,Mickey Moniak,LAA,271.46137000000004,2.8997914844024573,19956,OF
251,Jackson Merrill,SDP,268.58161,2.8001431444445255,sa3016829,SS
252,Michael Busch,CHC,266.39730000000003,2.8052953645815237,26319,3B
253,Jon Berti,MIA,265.46288,2.8201250164663083,12037,SS/3B
254,Mark Vientos,NYM,264.16251200000005,2.754570785935723,22184,DH
255,Edward Olivares,PIT,261.57712000000004,2.915658320942188,19698,OF
256,Aaron Hicks,LAA,258.76781,2.695057266676179,5297,OF
257,Jake Rogers,DET,258.34789,2.66013877934311,19452,C
258,Brayan Rocchio,CLE,257.94356000000005,2.793704341911594,23690,SS
259,Alejandro Kirk,TOR,256.57982799999996,2.64965181085823,22581,C
260,Dylan Carlson,STL,255.71282,2.8140448683946993,20126,OF
261,Austin Wells,NYY,255.704239,2.8746543220841065,27562,C
262,Connor Joe,PIT,255.04310000000004,2.8113681332914457,16572,1B/OF
263,Patrick Bailey,SFG,254.42523400000002,2.427327952526785,27478,C
264,Cavan Biggio,TOR,254.15414399999997,2.6979382207167277,19252,1B/2B/ OF
265,Jason Heyward,LAD,253.51161000000002,2.65001270066263,4940,OF
266,Dominic Fletcher,CHW,252.74677,2.5505965091449263,26149,OF
267,Connor Wong,BOS,250.15597000000002,2.4805494461907647,19896,C
268,Michael A. Taylor,,247.8768,2.8002792633412636,11489,OF
269,Patrick Wisdom,CHC,247.406645,3.081140477053343,13602,3B
270,Nick Senzel,WSN,246.28305000000003,2.5570474711209217,19293,3B/OF
271,Brandon Belt,,245.16869300000002,3.2909211997556995,10264,1B
272,Victor Robles,WSN,242.78848,2.567201701962078,18363,OF
273,Jake Meyers,HOU,241.05231000000003,2.585039088891034,20308,OF
274,Yan Gomes,CHC,240.72019999999998,2.465511343268295,9627,C
275,Junior Caminero,,239.79905000000002,3.1705359787184535,28163,3B
276,Zach McKinstry,DET,239.34574999999998,2.6918731766129596,19392,2B/SS/ 3B/OF
277,Manuel Margot,MIN,237.72646000000003,2.7646694337419597,14712,OF
278,Drew Waters,KCR,236.72996,2.84618434736608,20505,OF
279,René Pinto,TBR,236.396476,2.333213012495312,19859,C
280,Nicky Lopez,CHW,234.84409,2.2165349076459875,19339,2B/3B
281,Luis Urías,SEA,234.33243199999998,2.645223700994502,16622,2B
282,Paul DeJong,CHW,234.05383700000002,2.489214152925962,18015,SS
283,Johan Rojas,PHI,233.32917000000003,2.795868072613984,24336,OF
284,Enrique Hernández,LAD,232.48255,2.722788227302539,10472,2B/SS/ OF
285,Travis d'Arnaud,ATL,231.63096099999999,2.8307780421602446,7739,C
286,Eddie Rosario,WSN,230.11324,2.728668341797924,12155,OF
287,Jordan Lawlar,,228.67744000000002,2.85353851222014,29976,SS
288,Stone Garrett,WSN,228.624129,2.756968920445844,19273,OF
289,Isiah Kiner-Falefa,TOR,226.00356,2.5740636421515646,16512,3B/OF
290,Tyrone Taylor,NYM,225.28900999999996,2.7807141340732473,13675,OF
291,Lawrence Butler,OAK,222.87902,2.601447563466589,22542,OF
292,J.D. Davis,,221.28153899999998,2.5585437283855543,16219,3B
293,Mauricio Dubón,HOU,221.05501999999996,2.567729008232111,16530,2B/OF
294,Jared Triolo,PIT,219.62009,2.802953424944259,25807,3B
295,Joey Ortiz,MIL,218.70213999999999,2.5030058666129524,25493,2B
296,José Caballero,TBR,218.58522000000002,2.8358485352098426,23401,2B/SS
297,Adam Frazier,KCR,216.52049,2.564390792754061,15223,2B
298,Ezequiel Duran,TEX,216.17216,2.78964575195281,23733,SS/3B/ OF
299,Darell Hernaiz,OAK,215.91745000000003,2.5972719421068082,sa3011309,SS
300,Abraham Toro,OAK,215.32040999999995,2.325590847134707,19844,3B
301,Harold Ramírez,TBR,214.44939400000004,2.7892699492870405,14387,DH
302,Luis Matos,SFG,211.70591000000002,2.7770026785456627,26467,OF
303,Avisaíl García,MIA,211.21608999999998,2.6506180539520314,5760,OF
304,Josh Rojas,SEA,210.955182,2.6130434922632526,19734,2B/3B
305,Dominic Canzone,SEA,210.32559899999998,2.6584088521950373,26438,OF
306,Pete Crow-Armstrong,,209.95775,2.608517529659222,27769,OF
307,C.J. Cron,BOS,208.86144100000004,3.140518529322432,12546,1B
308,Gio Urshela,DET,207.44673,2.6540577850390408,10681,1B/3B
309,Akil Baddoo,DET,206.298552,2.8086592812341302,22168,OF
310,Estevan Florial,CLE,204.84810000000002,2.8313059511189187,19151,OF
311,Mike Tauchman,CHC,204.60469799999998,2.762218391145984,15274,OF
312,Joshua Palacios,PIT,200.60899,2.6855106726193263,19818,OF
313,Gary Sánchez,MIL,199.47648700000002,2.8803937868575025,11442,C
314,Gabriel Arias,CLE,199.23570500000005,2.3832107651104018,22563,1B/SS
315,Joey Wiemer,MIL,198.583437,2.729890630305413,27690,OF
316,Jo Adell,LAA,197.75552,2.8262537712106033,20220,OF
317,Hunter Goodman,,197.61252,3.061002724677461,29715,OF
318,Gavin Sheets,CHW,197.47813000000002,2.5500725721266218,19901,1B/OF
319,Christian Bethancourt,MIA,196.730819,2.4035706920270643,10028,C
320,Robbie Grossman,,195.45583400000004,2.783854751069997,5254,OF
321,Randal Grichuk,ARI,195.28807,2.784812929850655,10243,OF
322,Nick Fortes,MIA,195.23245900000003,2.3323118303334107,21538,C
323,Tyler Black,MIL,194.41190000000003,2.9075068607877013,sa3017623,3B
324,Ji Hwan Bae,PIT,192.2585,2.799243764405094,23818,2B/OF
325,Donovan Solano,,191.55671099999998,2.4346271928988394,8623,1B/2B
326,Yasmani Grandal,PIT,191.16097299999998,2.3652623106599586,11368,C
327,Tyler Soderstrom,OAK,188.90846599999998,2.313815591405093,27467,DH
328,Will Brennan,CLE,187.74053199999997,2.6239178081808863,25660,OF
329,Andy Ibáñez,DET,186.64416799999995,2.5947631552972212,18819,2B/OF
330,Jake McCarthy,ARI,186.38958000000002,2.96083003186565,21622,OF
331,Andruw Monasterio,MIL,185.76033,2.618736422448125,19455,2B/3B
332,Ramón Urías,BAL,185.45905999999997,2.5461505512156943,18795,2B/3B
333,Joey Wendle,NYM,184.87661999999997,2.287612662776367,13853,SS
334,Taylor Walls,TBR,184.42315000000002,2.706993706002196,22458,2B/SS/ 3B
335,Kyle Farmer,MIN,184.1802,2.5237009490245303,14813,2B/SS/ 3B
336,Nick Madrigal,CHC,183.31441,2.470378141634661,20521,3B
337,Colton Cowser,BAL,179.99301400000002,2.6125245514266395,29591,OF
338,Nick Gordon,MIA,179.43239,2.5187841550190417,16337,OF
339,Austin Slater,SFG,179.02961000000002,2.52107864605263,16153,OF
