#,Name,MLBAMID,RazzballID,FangraphsID,NFBCID,Team,ESPN_POS,YAHOO_POS,Last,First
1598,Dairon Blanco,680118,680118,19779,11474,KC,OF,OF,Blanco,Dairon
1599,Daison Acosta,670897,670897,sa944989,,WSH,SP,SP,Acosta,Daison
1600,Daiverson Gutierrez,806987,806987,sa3021086,,NYM,C,C,Gutierrez,Daiverson
1601,Daje Morales,800307,800307,sa3018509,,PIT,SS,SS,Morales,Daje
1602,Dakota Bacus,621290,621290,14545,10969,FA,RP,RP,Bacus,Dakota
1603,Dakota Chalmers,663793,663793,sa875017,10765,ARI,RP,RP,Chalmers,Dakota
1604,Dakota Donovan,668660,668660,sa3014783,,FA,RP,RP,Donovan,Dakota
1605,Dakota Harris,703766,703766,sa3022431,,STL,SS,SS,Harris,Dakota
1606,Dakota Hudson,641712,641712,19206,10064,COL,SP,SP,Hudson,Dakota
1607,Dallas Keuchel,572971,9434,9434,8321,FA,SP,SP,Keuchel,Dallas
1608,Dalton Guthrie,656495,656495,21293,11562,BOS,3B,3B,Guthrie,Dalton
1609,Dalton Kelly,665138,665138,sa876363,10953,FA,1B,1B,Kelly,Dalton
1610,Dalton Roach,681989,681989,sa3010567,,STL,SP,SP,Roach,Dalton
1611,Dalton Rogers,800059,800059,sa3020479,,BOS,SP,SP,Rogers,Dalton
1612,Dalton Rushing,687221,687221,sa3019892,,LAD,C,C,Rushing,Dalton
1613,Dalton Shuffield,684922,684922,sa3020270,,MIN,2B,2B,Shuffield,Dalton
1614,Dalton Stambaugh,690407,690407,sa3011252,,CHC,RP,RP,Stambaugh,Dalton
1615,Dalvy Rosario,672537,672537,sa3005712,,MIA,SS,SS,Rosario,Dalvy
1616,Damek Tomscha,595438,595438,sa550391,,FA,3B,3B,Tomscha,Damek
1617,Dameury Pena,808365,808365,sa3021624,,MIN,2B,2B,Pena,Dameury
1618,Damian Mendoza,677604,677604,sa3005430,,TEX,RP,RP,Mendoza,Damian
1619,Damiano Palmegiani,671913,671913,sa3017326,11946,TOR,3B,3B,Palmegiani,Damiano
1620,Damon Dues,680815,680815,sa3017285,,SF,2B,2B,Dues,Damon
1621,Damon Jones,676103,676103,23310,10719,FA,RP,RP,Jones,Damon
1622,Damon Keith,701618,701618,sa3017179,,LAD,OF,OF,Keith,Damon
1623,Dan Altavilla,656186,16507,16507,9440,KC,RP,RP,Altavilla,Dan
1624,Dan Straily,573185,9460,9460,8356,FA,SP,SP,Straily,Dan
1625,Dan Winkler,595465,12237,12237,8989,FA,RP,RP,Winkler,Dan
1626,Dane Acker,686769,686769,sa3014924,,TEX,SP,SP,Acker,Dane
1627,Dane Dunning,641540,641540,19409,10174,TEX,SP,SP,Dunning,Dane
1628,Dane Myers,667472,667472,22054,11820,MIA,OF,OF,Myers,Dane
1629,Daneurys De La Cruz,681453,681453,sa3007059,,DET,C,C,De La Cruz,Daneurys
1630,Daniel Alvarez,656032,656032,sa828462,10943,FA,RP,RP,Alvarez,Daniel
