,Name,Pos,FV,Age,ETA,Proj Team,PlayerId,Org
171,Eduardo Quintero,CF,45,18.4888888,2028.0,,sa3021208,LAD
129,Eduardo Tait,C,45,17.5416666,2029.0,,sa3022162,PHI
7,Kyle Debarge,SS,45,20.9888888,,,,
8,Jonathan Santucci,SP,45,21.5361111,,,,
9,Josh Hartle,SP,45,21.2972222,,,,
160,Prelander Berroa,SIRP,40+,23.9,2023.0,,22932,CHW
18,Daiber De Los Santos,SS,40+,17.2722222,2024.0,MIN,,
19,Yandel Ricardo,3B,40+,17.2722222,2024.0,KCR,,
20,Yuki Matsui,SIRP,40+,28.2055555,2024.0,SDP,sa3023348,
21,Jorge Quintana,SS,40+,16.775,2024.0,MIL,,
22,Ashly Andujar,SS,40+,16.4583333,2024.0,COL,,
23,Naibel Mariano,SS,40+,17.3555555,2024.0,CIN,,
24,Dawel Joseph,CF,40+,16.6638888,2024.0,SEA,,
26,Jyun-Yue Tseng,SIRP,40+,22.1861111,2024.0,,,
27,Luis Cova,CF,40+,16.9527777,2024.0,MIA,,
30,Francisco Vilorio,RF,40+,17.2055555,2024.0,NYY,,
32,Yovanny Rodriguez,C,40+,17.1861111,2024.0,NYM,,
103,Yuki Matsui,SIRP,40+,28.3666666,2024.0,,sa3023348,SDP
105,Randy Vásquez,MIRP,40+,25.3583333,2024.0,,24719,SDP
144,Luisangel Acuña,2B,40+,22.0,2024.0,,sa3008765,NYM
151,Wilmer Flores,MIRP,40+,23.0611111,2024.0,,sa3015223,DET
159,Dillon Dingler,C,40+,25.4861111,2024.0,,sa3014528,DET
167,Alex Speas,SIRP,40+,26.0222222,2024.0,,21859,CHW
175,Jordan Leasure,SIRP,40+,25.575,2024.0,,sa3017607,CHW
31,Liván Moinelo,SIRP,40+,28.1,2025.0,,,
152,Alex Ramírez,RF,40+,21.1638888,2025.0,,sa3014695,NYM
158,Tyler Black,1B,40+,23.6277777,2025.0,,sa3017623,MIL
166,Justyn-Henry Malloy,3B,40+,24.0638888,2025.0,,sa3017073,DET
176,Agustin Ramirez,C,40+,22.5055555,2025.0,,sa3009276,NYY
180,Bradley Blalock,SP,40+,23.2138888,2025.0,,sa3011809,MIL
181,Tyler Mattison,SIRP,40+,24.5194444,2025.0,,sa3018117,DET
189,Logan Henderson,SIRP,40+,22.0277777,2025.0,,sa3020080,MIL
197,Connor Cooke,SIRP,40+,24.3611111,2025.0,,sa3017822,TOR
241,Edgardo Henriquez,SP,40+,21.7166666,2025.0,,sa3009613,LAD
248,Carlos Duran,SIRP,40+,22.6166666,2025.0,,sa3006404,LAD
104,Jakob Marsee,CF,40+,22.7055555,2026.0,,sa3019868,SDP
145,Orion Kerkering,SIRP,40+,22.9388888,2026.0,,31776,PHI
154,Alex McFarlane,SIRP,40+,22.7583333,2026.0,,sa3020633,PHI
174,Kendry Rojas,SP,40+,21.2944444,2026.0,,sa3016746,TOR
182,Juaron Watts-Brown,SP,40+,22.0527777,2026.0,,sa3023352,TOR
183,Jared Serna,2B,40+,21.7805555,2026.0,,sa3015579,NYY
199,Peter Heubeck,SP,40+,21.6388888,2026.0,,sa3017936,LAD
220,Maddux Bruns,SIRP,40+,21.7277777,2026.0,,sa3017782,LAD
227,Ronan Kopp,SIRP,40+,21.6194444,2026.0,,sa3017751,LAD
234,Reynaldo Yean,SIRP,40+,20.1888888,2026.0,,sa3018303,LAD
29,Shugo Maki,2B,40+,25.7305555,2027.0,,,
153,Ryan Burrowes,SS,40+,19.5694444,2027.0,,sa3018619,CHW
168,Carlos Lagrange,SP,40+,20.7972222,2027.0,,sa3019390,NYY
190,Peyton Graham,SS,40+,23.1277777,2027.0,,sa3019990,DET
213,Jackson Ferris,SP,40+,20.1583333,2027.0,,sa3020891,LAD
25,Woo-jin An,SP,40+,24.3722222,2028.0,,kr3012678,
137,Justin Crawford,CF,40+,20.1638888,2028.0,,sa3020240,PHI
165,Yophery Rodriguez,CF,40+,18.2694444,2028.0,,sa3021083,MIL
173,Josue Briceno,C,40+,19.4694444,2028.0,,sa3018584,DET
192,Edgleen Perez,C,40+,17.7972222,2028.0,,sa3021330,NYY
196,Cooper Pratt,3B,40+,19.5666666,2028.0,,sa3022867,MIL
198,Chalniel Arias,SP,40+,20.5027777,2028.0,,sa3019370,NYY
204,Luke Adams,1B,40+,19.8833333,2028.0,,sa3020135,MIL
205,Sabier Marte,SP,40+,20.0888888,2028.0,,sa3019431,NYY
206,Oswaldo Osorio,SS,40+,18.9166666,2028.0,,sa3018560,LAD
